"SUM_BILNO","SUMMARY_DOCID","SUMMARY_TYPE","SUMMARY_TEXT"
"HB0009","HB9S      ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Time zone; permanent daylight saving time in the  Commonwealth.</b> Provides that the Commonwealth shall observe Eastern Daylight  Time (Eastern Standard Time, advanced one hour) year-round upon the enactment  by Congress of a law allowing states to observe Eastern Daylight Time  year-round."
"HB0010","HB10S     ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Real property tax; classification of land and improvements.</b>  Reclassifies improvements to real property as a separate class of real property  and authorizes any locality to impose a real property tax on improvements to  real property at a tax rate that is different than the rate applied to the land  on which such improvements are located. Such rate may exceed, equal, or be less  than the tax imposed upon the land on which the improvements are located. </p>  <p class=sumtext>Under current law, such classification is allowed only for the  Cities of Fairfax, Poquoson, Richmond, and Roanoke. For the Cities of Fairfax,  Richmond, and Roanoke, the rate applied shall not exceed the rate applied to  land under current law. The City of Poquoson is currently the only locality  authorized to impose a rate in excess of the rate applied to land. The bill  applies only to taxable years beginning on and after July 1, 2026."
"HB0011","HB11S     ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Emergency custody orders; transportation to treatment  center or to residence of the person subject to  emergency custody order. </b>Provides that transportation provided pursuant to an  emergency custody order shall include, upon completion of emergency medical  evaluation or treatment, transportation to an approved treatment center or to the residence of the person subject to the emergency  custody order."
"HB0012","HB12S     ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Income tax; standard deduction.</b> Removes the sunset from and makes permanent the enhanced standard deduction  amounts of $8,750 for single individuals and $17,500 for married individuals filing  jointly. Under current law, the standard deduction is scheduled to revert to  $3,000 for single individuals and $6,000 for married individuals filing jointly  after taxable year 2026."
"HB0013","HB13S     ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Sales and use tax; food purchased for human consumption and  essential personal hygiene products.</b> Eliminates the remaining one percent  local sales and use tax that is imposed on food purchased for human consumption  and essential personal hygiene products beginning on July 1, 2026. Under  current law, no other sales and use tax is applied to such products. The bill  requires an equivalent amount of revenue to be distributed to cities and  counties on a monthly basis in compensation for the lost tax revenue."
"HB0014","HB14S     ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Virginia Residential Landlord and Tenant  Act; enforcement by localities.</b> Provides that if a condition exists in a  dwelling unit that constitutes a material noncompliance by the landlord with  the rental agreement or with any provision of law that, if not remedied within  a reasonable time frame, constitutes a fire hazard or serious threat to the  life, health, or safety of a tenant or occupant of the premises, a locality may  institute an action on behalf of any tenant or occupant of the premises who is  injured by such material noncompliance for injunction and damages to enforce  the landlord's duty to maintain the dwelling unit in a fit and habitable  condition, provided that (i) the premises where the violation occurred is  within the jurisdictional boundaries of the locality and (ii) the locality has  notified the landlord who owns the premises, either directly or through the  managing agent, of the nature of the violation and the landlord has failed to  remedy the violation to the satisfaction of the locality within a reasonable  time after receiving such notice."
"HB0015","HB15S     ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Virginia Residential Landlord and Tenant Act; landlord  remedies; noncompliance with rental agreement; mandatory waiting period. </b>Increases  the mandatory waiting period for a landlord to pursue remedies for termination  of the rental agreement from five days to 14 days. The waiting period begins  after a landlord serves written notice on a tenant notifying the tenant of his  nonpayment of rent and of the landlord's intention to terminate the rental agreement  if rent is not paid."
"HB0016","HB16S     ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Community service work in lieu of payment of fines and  costs; work performed while incarcerated.</b> Requires a court to establish a  program and allow any person upon whom a fine and costs have been imposed to  discharge all or part of the fine or costs by earning credits for the  performance of community service work or work performed while incarcerated,  defined in the bill as any work done on or after July 1, 2020, by a person  confined in any penal or corrective institution of the Commonwealth or any of  its political subdivisions who is paid a wage that is less than the Virginia  minimum wage.</p>  <p class=sumtext>The bill requires such program be available during such person's imprisonment in a local, regional, or state  correctional facility. The bill provides that a person who is performing work  while incarcerated shall be credited at the same rate as the community service  work rate less any wages received. Under current law, a court is required to  establish a program for providing an option for community service work in lieu  of payment of fines and costs but offering such option is not mandatory. The  bill also requires the local, regional, or state correctional facility to  provide confirmation of the hours worked and the credits earned for such work  upon request of any person who has performed work while incarcerated or his  representative."
"HB0016","HB16SE    ","SUMMARY AS PASSED HOUSE","<p class='sumtext'><b>Community service work in lieu of payment of fines and costs; work performed while incarcerated.</b> Requires a court to establish a program and allow any person upon whom a fine and costs have been imposed to discharge all or part of the fine or costs by earning credits for the performance of community service work or work performed while incarcerated, defined in the bill as any work done on or after July 1, 2023, by a person confined in any penal or corrective institution of the Commonwealth or any of its political subdivisions who is paid a wage that is less than the Virginia minimum wage.</p><p class='sumtext'>The bill requires such program be available during such person's imprisonment in a local, regional, or state correctional facility. The bill provides that a person who is performing work while incarcerated shall be credited at the same rate as the community service work rate less any wages received. Under current law, a court is required to establish a program for providing an option for community service work in lieu of payment of fines and costs but offering such option is not mandatory. The bill also requires the local, regional, or state correctional facility to provide confirmation of the hours worked and the credits earned for such work upon request of any person who has performed work while incarcerated or his representative. </p>"
"HB0017","HB17S     ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Fines, costs, forfeitures, penalties, and restitution;  collection fees; assessment against incarcerated defendant; deferred payment  agreement.</b> Extends from 90 days without payment to 180 days without payment  the period of delinquency necessary for an account to be included on the  required monthly report of delinquent accounts made by the clerk of the circuit  court and district court. The bill also provides that for any defendant  sentenced to an active term of incarceration and ordered to pay any fine, cost,  forfeiture, or penalty related to the charge that such defendant is  incarcerated for, or any other charge for which such defendant was sentenced on  the same day, the court shall enter such defendant into a deferred payment  agreement for such fines, costs, forfeitures, or  penalties. The bill requires the due date for such deferred payment agreement  to be set no earlier than the defendant's scheduled release from incarceration  on the charge for which such defendant received the longest period of active  incarceration. The bill has a delayed effective date of January 1, 2027."
"HB0017","HB17SE    ","SUMMARY AS PASSED HOUSE","<p class='sumtext'><b>Fines, costs, forfeitures, penalties, and restitution; collection fees; assessment against incarcerated defendant; deferred payment agreement.</b> Extends from 90 days without payment to 180 days without payment the period of delinquency necessary for an account to be included on the required monthly report of delinquent accounts made by the clerk of the circuit court and district court. The bill also provides that for any defendant sentenced to an active term of incarceration and ordered to pay any fine, cost, forfeiture, or penalty related to the charge that such defendant is incarcerated for, or any other charges for which such defendant was sentenced on the same day, the court shall enter such defendant into a deferred payment agreement for such fines, costs, forfeitures, or penalties. The bill requires the due date for such deferred payment agreement to be set no earlier than the defendant's scheduled release from incarceration on the charges for which such defendant was sentenced on the same day. The bill has a delayed effective date of January 1, 2027. </p>"
"HB0018","HB18S     ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Employee Child Care Assistance Program established.</b> Establishes the Employee Child Care  Assistance Program to provide matching funds in order to incentivize employers  to contribute to the child care costs of their employees. The Program shall be  administered by the Virginia Early Childhood Foundation. To participate in the  Program, an employer shall agree to make child care contributions to the  eligible mixed delivery provider on behalf of the  employee or to a third-party administrator, as defined by the bill, and shall  provide any other information deemed necessary by the Foundation. The bill specifies that, to the extent funds are  available, the Foundation shall issue a state match to a third-party  administrator. Program funds shall be awarded on a first-come, first-served  basis; however, the bill clarifies that the  Foundation is encouraged to prioritize awards to proposals involving  contributions from small businesses. The bill requires the Foundation to  provide an interim report to the General Assembly by September 1, 2028, and a  summative report to the General Assembly by September 1, 2030, on the  effectiveness and impact of the Program.</p>    </div>  <br>   <div class='WordSection2'>  <p class=sumtext>"
"HB0018","HB18SE    ","SUMMARY AS PASSED HOUSE","<p class='sumtext'><b>Employee Child Care Assistance Program established.</b> Establishes the Employee Child Care Assistance Program to provide matching funds in order to incentivize employers to contribute to the child care costs of their employees. The Program shall be administered by the Virginia Early Childhood Foundation. To participate in the Program, an employer shall agree to make child care contributions to the eligible mixed delivery provider on behalf of the employee or to a third-party administrator, as defined by the bill, and shall provide any other information deemed necessary by the Foundation. The bill specifies that, to the extent funds are available, the Foundation shall issue a state match to a third-party administrator. Program funds shall be awarded on a first-come, first-served basis; however, the bill clarifies that the Foundation is encouraged to prioritize awards to proposals involving contributions from small businesses. The bill requires the Foundation to provide an interim report to the General Assembly by September 1, 2028, and a summative report to the General Assembly by September 1, 2030, on the effectiveness and impact of the Program.</p><div></div><br /><div class='WordSection2'><p class='sumtext'></p></div>"
"HB0019","HB19S     ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Purchase, possession, or transportation of firearm; assault  and battery of a family or household member or intimate partner; penalties. </b>Adds  to the definition of 'family or household member,' as such definition  relates to juvenile and domestic relations district court, a person's intimate  partner, defined in the bill as an individual who, within the previous 12  months, was in a romantic, dating, or sexual relationship with the person as  determined by the length, nature, frequency, and type of interaction between  the individuals involved in the relationship. The bill also adds to the  definition of 'family or household member,' as such definition  relates to a person's purchase, possession, or transportation of a firearm  following an assault and battery of family or household member, any individual  who cohabits or who, within the previous 12 months, cohabitated with the  person. Finally, the bill provides that any person who knowingly and  intentionally purchases, possesses, or transports any firearm following a  misdemeanor conviction for an offense that occurred on or after July 1, 2026,  for the offense of assault and battery against an intimate partner or an  offense substantially similar under the laws of any other state or of the  United States is guilty of a Class 1 misdemeanor."
"HB0020","HB20S     ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Minimum wage; farm laborers or farm  employees; temporary foreign workers. </b>Eliminates the exemptions from  Virginia's minimum wage requirements for (i) persons employed as farm laborers  or farm employees and (ii) certain temporary foreign workers."
"HB0020","HB20SE    ","SUMMARY AS PASSED HOUSE","<p class='sumtext'><b>Minimum wage; farm laborers or farm employees; temporary foreign workers. </b>Eliminates the exemptions from Virginia's minimum wage requirements for (i) persons employed as farm laborers or farm employees and (ii) certain temporary foreign workers. The bill has a delayed effective date of January 1, 2027.</p>"
"HB0021","HB21S     ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Firearm industry members; standards of responsible conduct;  civil liability. </b>Creates standards of responsible conduct for firearm  industry members and requires such members to establish and implement reasonable  controls regarding the manufacture, sale, distribution, use, and marketing of  the firearm industry member's firearm-related products, as those terms are  defined in the bill. Such reasonable controls include reasonable procedures,  safeguards, and business practices that are designed to (i) prevent the sale or  distribution of a firearm-related product to a straw purchaser, firearm  trafficker, person prohibited from possessing a firearm under state or federal  law, or person who the firearm industry member has reasonable cause to believe  is at substantial risk of using a firearm-related product to harm himself or unlawfully harm another or of unlawfully  possessing or using a firearm-related product; (ii) prevent the loss of a  firearm-related product or theft of a firearm-related product from a firearm  industry member; (iii) ensure that the firearm industry member complies with  all provisions of state and federal law and does not otherwise promote the  unlawful manufacture, sale, possession, marketing, or use of a firearm-related  product; and (iv) ensure that the firearm industry member may not knowingly or  recklessly create, maintain, or contribute to a public nuisance, as defined in  the bill, through the sale, manufacture, importing,  or marketing of a firearm-related product. The bill creates a civil cause of  action for the Attorney General or a local county or city attorney to enforce  the provisions of the bill or for any person who has been injured as a result  of a firearm industry member's violation to seek an injunction and to recover  costs and damages."
"HB0021","HB21SE    ","SUMMARY AS PASSED HOUSE","<p class='sumtext'><b>Firearm industry members; standards of responsible conduct; civil liability. </b>Creates standards of responsible conduct for firearm industry members and requires such members to establish and implement reasonable controls regarding the manufacture, sale, distribution, use, and marketing of the firearm industry member's firearm-related products, as those terms are defined in the bill. Such reasonable controls include reasonable procedures, safeguards, and business practices that are designed to (i) prevent the sale or distribution of a firearm-related product to a straw purchaser, firearm trafficker, person prohibited from possessing a firearm under state or federal law, or person who the firearm industry member has reasonable cause to believe is at substantial risk of using a firearm-related product to harm himself or unlawfully harm another or of unlawfully possessing or using a firearm-related product; (ii) prevent the loss of a firearm-related product or theft of a firearm-related product from a firearm industry member; (iii) ensure that the firearm industry member complies with all provisions of state and federal law and does not otherwise promote the unlawful manufacture, sale, possession, marketing, or use of a firearm-related product; (iv) prevent the installation and use of an auto sear on firearm-related products; or (v)&nbsp;ensure that the firearm industry member may not knowingly create, maintain, or contribute to a public nuisance, as defined in the bill, through the sale, manufacture, importing, or marketing of a firearm-related product. The bill creates a civil cause of action for the Attorney General or a local county, town,&nbsp;or city attorney to enforce the provisions of the bill or for any person who has been injured as a result of a firearm industry member's violation to seek an injunction and to recover costs and damages. </p>"
"HB0022","HB22S     ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Public institutions of higher education; disciplinary  immunity for certain individuals who make reports; Virginia Military Institute.</b>  Removes the authority granted to Virginia Military Institute to include in its  sexual violence policy, code, rules, or set of standards a provision  stipulating that in the event that a cadet discloses personal consumption of  drugs or alcohol in conjunction with a good faith report of an act of sexual  violence and the superintendent of Virginia Military Institute determines that  such cadet's personal consumption of drugs or alcohol constitutes a threat to  the cadet's well-being or the well-being of others, the superintendent may  require such cadet to attend drug or substance use disorder counseling."
"HB0023","HB23S     ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Elections; primary dates; presidential  year primaries.</b> Provides that all primaries for offices to be filled at the  November election in presidential election years shall be held on the date of  the presidential primary. With respect to candidates for election in November  of a presidential election year, the bill also lifts the requirement that  petition signatures must be collected after January 1 of the presidential  election year. The bill adjusts campaign finance filing deadlines for  candidates in presidential year elections to account for the March primary  date."
"HB0024","HB24S     ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Concealed handgun permits; reciprocity with other states. </b>Provides  that the Superintendent of State Police, in consultation with the Office of the  Attorney General, shall determine whether other states meet the statutory  qualifications for Virginia to recognize the concealed handgun permit of a  person from such other state. Under current law, any out-of-state permit is  recognized in the Commonwealth, provided that (i) the issuing authority  provides the means for instantaneous verification of the validity of all such  permits or licenses issued within that state, accessible 24 hours a day; (ii)  the permit or license holder carries a photo identification issued by a  government agency of any state or by the U.S. Department of Defense or U.S. Department  of State and displays the permit or license and such identification upon demand  by a law-enforcement officer; and (iii) the permit or license holder has not  previously had a Virginia concealed handgun permit revoked. The bill prevents a  Virginia resident, except for an active duty service member or such service  member's spouse, who has not been issued a valid resident concealed handgun  permit from using a concealed handgun or concealed weapon permit or license  issued by another state to carry a concealed handgun in the Commonwealth. The  foregoing provisions of the bill have a delayed effective date of July 1, 2027.</p>  <p class=sumtext>The bill requires the Superintendent of State Police, in  consultation with the Office of the Attorney General, to review any agreements  for reciprocal recognition that are in place with any other states as of July  1, 2026, to determine whether the requirements and qualifications of those  states' laws are adequate to prevent possession of a permit or license by  persons who would be denied a permit in the Commonwealth and revoke any  reciprocity agreement or recognition of any states that do not meet such  requirements or qualifications by December 1, 2026. The bill requires the  Attorney General to provide a written explanation for any determination that a  state's laws are adequate to prevent possession of such permit or license by  persons who would be denied such permit in the Commonwealth."
"HB0025","HB25S     ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Railroad safety;  minimum </b><b>train crew; movement of freight; civil penalties.</b>  Requires a crew of at least two qualified individuals on all trains,  locomotives, or light engines used in connection with moving freight. The bill requires  a railroad company that violates its provisions to pay certain fines for first,  second, and third or subsequent violations within three years. </p>  <p class=sumtext>"
"HB0026","HB26S     ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Modification of sentence for marijuana-related offenses.</b>  Creates a process by which persons convicted of certain felony offenses  involving the possession, manufacture, selling, giving, distribution,  transportation, or delivery of marijuana committed prior to July 1, 2021, who  remain incarcerated or on community supervision on July 1, 2026, may receive an  automatic hearing to consider modification of such person's sentence. The  provisions of this bill sunset on July 1, 2029."
"HB0026","HB26SE    ","SUMMARY AS PASSED HOUSE","<p class='sumtext'><b>Modification of sentence for marijuana-related offenses.</b> Creates a process by which persons adjudicated delinquent or convicted of certain felony offenses involving, or violations of probation or community supervision related to, the possession, manufacture, selling, giving, distribution, transportation, or delivery of marijuana committed prior to July 1, 2021, who remain incarcerated or on probation or community supervision on July 1, 2026, may receive an automatic hearing to consider modification of such person's sentence. The provisions of this bill sunset on July 1, 2029. </p>"
"HB0027","HB27S     ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Overtime for certain employees; domestic  workers.</b> Adds domestic workers, as defined in the bill, to provisions  related to overtime pay. The bill has a delayed effective date of July 1, 2027.</p>    <p class=sumtext>"
"HB0027","HB27SE    ","SUMMARY AS PASSED HOUSE","<p class='sumtext'><b>Overtime for certain employees; domestic workers.</b> Adds domestic workers, as defined in the bill, to provisions related to overtime pay. The bill has a delayed effective date of July 1, 2027.</p><p class='sumtext'></p>"
"HB0028","HB28S     ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Voter registration, regular periodic review of registration  records; 90-day quiet period before all primary and general elections.</b>  Requires the Department of Elections to complete not later than 90 days prior  to the date of a primary or general election any program the purpose of which  is to systematically remove the names of ineligible voters from the voter  registration system. This restriction is not to be construed to preclude (i)  the removal of names from the voter registration system at the request of the  registrant or as provided by existing law by reason of criminal conviction or  mental incapacity or the death of the registrant or (ii) the correction of  registration records pursuant to existing law. Under current law, such  restriction only applies to federal primaries and federal general elections.  The bill also extends (a) the period of time registrars have to cancel  registrations from 30 days to 60 days after notification of the need to cancel  by the Department of Elections and (b) the period of time a registered voter  has to respond to a notice of cancellation related to citizenship status from  14 days to 28 days."
"HB0028","HB28SE    ","SUMMARY AS PASSED HOUSE","<p class='sumtext'><b>Voter registration; regular periodic review of registration records.</b> Requires the Department of Elections to complete, not later than 90 days prior to the date of a primary or general election, any program the purpose of which is to systematically remove the names of ineligible voters from the voter registration system based on evidence of ineligibility, including evidence of lack of eligible residence or evidence of noncitizenship. This restriction is not to be construed to preclude (i) the removal of names from the voter registration system at the request of the registrant or as provided by existing law by reason of criminal conviction or mental incapacity or the death of the registrant if the triggering conviction, incapacity order, or death occurred within 120 days of the election or (ii) the correction of details, such as name and address, in a voter's registration record that does not result in the removal of a voter from the voter registration system. Under current law, such restriction only applies to federal primaries and federal general elections. The bill also provides a process for confirming a voter's citizenship status prior to cancellation based on a report of non-citizen status and extends (a) the period of time registrars have to cancel registrations from 30 days to 60 days after notification of the need to cancel by the Department of Elections and (b) the period of time a registered voter has to respond to a notice of cancellation related to citizenship status from 14 days to 28 days. </p>"
"HB0029","HB29S     ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Budget Bill.</b> Amends and reenacts Chapter 725 of  the Acts of Assembly of 2025, which appropriates the public revenues for two  years ending, respectively, on June 30, 2025, and June 30, 2026."
"HB0030","HB30S     ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Budget Bill.</b> Provides for all  appropriations of the Budget submitted by the Governor of Virginia in  accordance with the provisions of ? 2.2-1509 of the Code of Virginia, and  provides a portion of revenues for the two years ending respectively on the  thirtieth day of June 2027 and the thirtieth day of June 2028."
