"Bill_Number","Subject_Name","Subject_Id"
"HB499","Uncodified Legislation","1282"
"HB500","Commissions, Boards, and Institutions Generally","113"
"HB500","Education","154"
"HB500","Standards of Learning","1057"
"HB502","Crimes and Offenses Generally","132"
"HB502","Health","218"
"HB502","Motor Vehicles","299"
"HB510","Insurance","238"
"HB510","Taxation","437"
"HB510","License Tax","847"
"HB512","Study Commissions, Committees, and Reports","428"
"HB512","Uncodified Legislation","1282"
"HB512","Conservatorship","16535"
"HB524","Waters of the State, Ports, and Harbors","472"
"HB524","Natural Gas","897"
"HB527","Religious and Charitable Matters; Cemeteries","372"
"HB528","Property and Conveyances","356"
"HB528","Property Owners","969"
"HB531","Workers' Compensation","494"
"HB535","Education","154"
"HB535","Study Commissions, Committees, and Reports","428"
"HB535","Uncodified Legislation","1282"
"HB540","Sales and Use Tax","392"
"HB540","Taxation","437"
"HB550","Health","218"
"HB550","Welfare (Social Services)","478"
"HB550","Adoption","508"
"HB550","Birth and Death Records","556"
"HB552","Corporations","120"
"HB552","Income Tax","234"
"HB552","Personal Property and Personal Property Tax","337"
"HB552","Taxation","437"
"HB556","Courts of Record","126"
"HB556","Judicial Inquiry and Review Commission","247"
"HB556","Study Commissions, Committees, and Reports","428"
"HB563","Education","154"
"HB563","Uncodified Legislation","1282"
"HB564","Education","154"
"HB564","Public Schools","980"
"HB565","Elections","156"
"HB565","Voter Registration","1140"
"HB573","Education","154"
"HB573","Students","1068"
"HB582","Education","154"
"HB582","High Schools","768"
"HB582","Public Schools","980"
"HB582","School Boards","1029"
"HB587","Housing","231"
"HB587","Minors","294"
"HB587","Study Commissions, Committees, and Reports","428"
"HB587","Uncodified Legislation","1282"
"HB602","Commonwealth Public Safety","114"
"HB602","Firearms","721"
"HB610","Insurance","238"
"HB610","Diabetics or Diabetes","671"
"HB610","Health Insurance","765"
"HB620","Health","218"
"HB620","Medical Treatment, Care, and Assistance","878"
"HB621","Income Tax","234"
"HB621","Taxation","437"
"HB627","Education","154"
"HB627","Child Care","594"
"HB627","Uncodified Legislation","1282"
"HB628","Behavioral Health and Developmental Services","40"
"HB628","Health","218"
"HB628","Hospitals and Hospitalization","781"
"HB630","Emergency Services and Vehicles","159"
"HB630","Pensions, Benefits, and Retirement","336"
"HB630","Local Government and Officials","856"
"HB630","Retirement Systems","1007"
"HB631","Pensions, Benefits, and Retirement","336"
"HB631","Police","344"
"HB631","Retirement Systems","1007"
"HB636","Counties, Cities, and Towns","122"
"HB636","Public Service Companies","361"
"HB636","State Corporation Commission","421"
"HB646","Counties, Cities, and Towns","122"
"HB646","Ordinances","919"
"HB646","Zoning","1164"
"HB658","Counties, Cities, and Towns","122"
"HB658","Elections","156"
"HB658","Study Commissions, Committees, and Reports","428"
"HB658","Voters and Voting","1141"
"HB662","Motor Vehicles","299"
"HB662","Towing Services and Tow Trucks","1093"
"HB675","Commissions, Boards, and Institutions Generally","113"
"HB675","Education","154"
"HB675","Blind Persons","559"
"HB675","Hearing-Impaired Persons","766"
"HB675","Institutions of Higher Education; Other Educational and Cultural Institutions","9650"
"HB676","Commonwealth Public Safety","114"
"HB677","Education","154"
"HB694","Elections","156"
"HB694","Absentee Ballots","502"
"HB694","Voters and Voting","1141"
"HB696","Education","154"
"HB696","High Schools","768"
"HB696","Uncodified Legislation","1282"
"HB697","Civil Remedies and Procedure","93"
"HB697","Crimes and Offenses Generally","132"
"HB697","Study Commissions, Committees, and Reports","428"
"HB721","Counties, Cities, and Towns","122"
"HB721","Rental Property","1002"
"HB725","Counties, Cities, and Towns","122"
"HB725","Local Government and Officials","856"
"HB742","Administration of Government","4"
"HB742","Elections","156"
"HB742","General Assembly","192"
"HB745","Conservation","116"
"HB745","Study Commissions, Committees, and Reports","428"
"HB747","Trade and Commerce","445"
"HB762","Taxation","437"
"HB762","Organ Donor","16545"
"HB765","Courts Not of Record","125"
"HB765","Domestic Relations","146"
"HB765","Sexual Offenses","1040"
"HB766","Domestic Relations","146"
"HB766","Minors","294"
"HB774","Counties, Cities, and Towns","122"
"HB774","Crimes and Offenses Generally","132"
"HB774","Alcohol Safety Action Program","517"
"HB775","Administration of Government","4"
"HB775","Police","344"
"HB775","Highways and Other Surface Transportation Systems","8721"
"HB787","Administration of Government","4"
"HB787","Administrative Process Act","506"
"HB813","Behavioral Health and Developmental Services","40"
"HB813","Domestic Relations","146"
"HB813","Minors","294"
"HB813","Professions and Occupations","355"
"HB837","Courts Not of Record","125"
"HB837","Juvenile and Domestic Relations District Courts","826"
"HB842","Education","154"
"HB842","School Boards","1029"
"HB842","Students","1068"
"HB847","Criminal Procedure","133"
"HB859","Commonwealth Public Safety","114"
"HB859","Crimes and Offenses Generally","132"
"HB859","Criminal Justice Services","656"
"HB859","Human Trafficking","16488"
"HB863","Property and Conveyances","356"
"HB863","Virginia Residential Property Disclosure Act","1135"
"HB864","Insurance","238"
"HB864","Health Insurance","765"
"HB865","Income Tax","234"
"HB865","Taxation","437"
"HB878","Counties, Cities, and Towns","122"
"HB878","Affordable Housing","511"
"HB882","Education","154"
"HB882","Cell Phones","585"
"HB882","Students","1068"
"HB884","Motor Vehicles","299"
"HB886","Health","218"
"HB886","Nursing Facilities","16510"
"HB887","Income Tax","234"
"HB887","Taxation","437"
"HB889","Sales and Use Tax","392"
"HB889","Taxation","437"
"HB889","Retail Sales and Use Tax","1006"
"HB890","Domestic Relations","146"
"HB890","Children","597"
"HB897","Administration of Government","4"
"HB897","Study Commissions, Committees, and Reports","428"
"HB897","Small Businesses","1045"
"HB899","Administration of Government","4"
"HB899","General Assembly","192"
"HB899","Conflict of Interests","634"
"HB899","Local Government and Officials","856"
"HB900","Counties, Cities, and Towns","122"
"HB900","Ordinances","919"
"HB900","Zoning","1164"
"HB907","Commissions, Boards, and Institutions Generally","113"
"HB907","Elections","156"
"HB907","Ballots and Balloting","542"
"HB910","Study Commissions, Committees, and Reports","428"
"HB910","Mines, Minerals, and Energy","14463"
"HB910","Data Centers","16509"
"HB915","Public Service Companies","361"
"HB915","Study Commissions, Committees, and Reports","428"
"HB915","Highways and Other Surface Transportation Systems","8721"
"HB920","Police","344"
"HB920","License Plates and Registration","846"
"HB920","Highways and Other Surface Transportation Systems","8721"
"HB922","Property and Conveyances","356"
"HB922","Pests and Pesticides","936"
"HB923","Study Commissions, Committees, and Reports","428"
"HB923","Tolls","1090"
"HB923","Uncodified Legislation","1282"
"HB923","Highways and Other Surface Transportation Systems","8721"
"HB927","Health","218"
"HB927","Study Commissions, Committees, and Reports","428"
"HB927","Health and Human Resources, Secretary of","764"
"HB927","Law-Enforcement Officers","837"
"HB927","Public Safety and Homeland Security, Secretary of","979"
"HB927","Uncodified Legislation","1282"
"HB941","Elections","156"
"HB941","Higher Education","771"
"HB941","Institutions of Higher Education; Other Educational and Cultural Institutions","9650"
"HB951","Counties, Cities, and Towns","122"
"HB951","Local Government and Officials","856"
"HB952","Counties, Cities, and Towns","122"
"HB952","Condominiums","633"
"HB954","Administration of Government","4"
"HB954","Discrimination","144"
"HB954","Human Rights","785"
"HB961","Income Tax","234"
"HB961","Taxation","437"
"HB969","Taxation","437"
"HB969","Children","597"
"HB975","Public Service Companies","361"
"HB975","Electric Companies","689"
"HB976","Public Service Companies","361"
"HB976","State Corporation Commission","421"
"HB976","Electric Companies","689"
"HB977","Education","154"
"HB977","Students","1068"
"HB978","Commissions, Boards, and Institutions Generally","113"
"HB978","Professions and Occupations","355"
"HB978","Nurses","908"
"HB978","Midwives","16539"
"HB981","Higher Education","771"
"HB981","Tuition","1108"
"HB981","Institutions of Higher Education; Other Educational and Cultural Institutions","9650"
"HB988","Behavioral Health and Developmental Services","40"
"HB988","Prisons and Other Methods of Correction","354"
"HB988","Study Commissions, Committees, and Reports","428"
"HB988","Correctional Enterprises","646"
"HB988","Corrections, Board of or Department of","647"
"HB1013","Wills, Trusts, and Fiduciaries","487"
"HB1029","Augusta County","32"
"HB1029","Bath County","36"
"HB1029","School Boards","1029"
"HB1029","Uncodified Legislation","1282"
"HB1031","Commissions, Boards, and Institutions Generally","113"
"HB1031","General Assembly","192"
"HB1031","Study Commissions, Committees, and Reports","428"
"HB1033","Accomack County","2"
"HB1033","Education","154"
"HB1033","Northampton County","313"
"HB1033","School Boards","1029"
"HB1033","Uncodified Legislation","1282"
"HB1041","Insurance","238"
"HB1041","Health Insurance","765"
"HB1049","Emergency Services and Vehicles","159"
"HB1049","Study Commissions, Committees, and Reports","428"
"HB1049","Firefighters and Fire Marshals","722"
"HB1049","Uncodified Legislation","1282"
"HB1049","Secretary of Public Safety and Homeland Security","16566"
"HB1051","Education","154"
"HB1051","High Schools","768"
"HB1051","Institutions of Higher Education; Other Educational and Cultural Institutions","9650"
"HB1054","Counties, Cities, and Towns","122"
"HB1063","Health","218"
"HB1063","Nursing Homes","909"
"HB1070","Administration of Government","4"
"HB1070","Attorney General","31"
"HB1070","Authorities","33"
"HB1070","Counties, Cities, and Towns","122"
"HB1078","Income Tax","234"
"HB1078","Taxation","437"
"HB1091","Study Commissions, Committees, and Reports","428"
"HB1091","Career and Technical Education","583"
"HB1091","Elementary Schools","694"
"HB1091","Public Schools","980"
"HB1091","Uncodified Legislation","1282"
"HB1092","Building Code","569"
"HB1092","Uncodified Legislation","1282"
"HB1093","Counties, Cities, and Towns","122"
"HB1096","Housing","231"
"HB1096","Taxation","437"
"HB1101","Administration of Government","4"
"HB1101","Virginia Public Procurement Act","1133"
"HB1121","Prisons and Other Methods of Correction","354"
"HB1121","Corrections, Board of or Department of","647"
"HB1121","Institutions of Higher Education; Other Educational and Cultural Institutions","9650"
"HB1122","Counties, Cities, and Towns","122"
"HB1122","Richmond, City of","377"
"HB1122","Affordable Housing","511"
"HB1124","Housing","231"
"HB1124","Religious and Charitable Matters; Cemeteries","372"
"HB1124","Affordable Housing","511"
"HB1129","Domestic Relations","146"
"HB1185","Health","218"
"HB1185","Professions and Occupations","355"
"HB1185","Prescription Medicines","960"
"HB1192","Administration of Government","4"
"HB1225","Counties, Cities, and Towns","122"
"HB1226","Workers' Compensation","494"
"HB1226","Firefighters and Fire Marshals","722"
"HB1226","Law-Enforcement Officers","837"
"HB1233","Study Commissions, Committees, and Reports","428"
"HB1233","Highways and Other Surface Transportation Systems","8721"
"HB1235","Crimes and Offenses Generally","132"
"HB1235","Concealed Weapons","631"
"HB1235","Firearms","721"
"HB1235","Handguns","759"
"HB1235","Protective Orders","971"
"HB1239","Health","218"
"HB1239","Minors","294"
"HB1239","Professions and Occupations","355"
"HB1253","Counties, Cities, and Towns","122"
"HB1253","Persons With Disabilities","338"
"HB1253","Affordable Housing","511"
"HB1253","Ordinances","919"
"HB1259","Emergency Services and Vehicles","159"
"HB1259","Study Commissions, Committees, and Reports","428"
"HB1259","Uncodified Legislation","1282"
"HB1263","Courts Not of Record","125"
"HB1263","Courts of Record","126"
"HB1263","Crimes and Offenses Generally","132"
"HB1263","Criminal Procedure","133"
"HB1263","Circuit Courts","602"
"HB1263","Juvenile and Domestic Relations District Courts","826"
"HB1263","Juveniles","827"
"HB1273","Administration of Government","4"
"HB1273","Virginia Public Procurement Act","1133"
"HB1280","Consumer Protection","118"
"HB1280","Trade and Commerce","445"
"HB1281","Income Tax","234"
"HB1281","Taxation","437"
"HB1284","Emergency Services and Vehicles","159"
"HB1284","Labor and Employment","258"
"HB1284","Firefighters and Fire Marshals","722"
"HB1288","Public Service Companies","361"
"HB1288","Electric Companies","689"
"HB1292","Income Tax","234"
"HB1292","Taxation","437"
"HB1292","Firefighters and Fire Marshals","722"
"HB1293","Authorities","33"
"HB1293","Behavioral Health and Developmental Services","40"
"HB1293","Study Commissions, Committees, and Reports","428"
"HB1293","Nurses","908"
"HB1293","Uncodified Legislation","1282"
"HB1295","Health","218"
"HB1295","Water and Sewer Systems","471"
"HB1305","Taxation","437"
"HB1305","Institutions of Higher Education; Other Educational and Cultural Institutions","9650"
"HB1307","Study Commissions, Committees, and Reports","428"
"HB1307","Higher Education","771"
"HB1307","Uncodified Legislation","1282"
"HB1307","Institutions of Higher Education; Other Educational and Cultural Institutions","9650"
"HB1310","Counties, Cities, and Towns","122"
"HB1310","Zoning","1164"
"HB1311","Domestic Relations","146"
"HB1311","Divorce","676"
"HB1314","Elections","156"
"HB1316","Crime Commission, State","131"
"HB1316","Study Commissions, Committees, and Reports","428"
"HB1316","Uncodified Legislation","1282"
"HB1320","Consumer Protection","118"
"HB1320","Trade and Commerce","445"
"HB1322","Nurses","908"
"HB1322","Professional and Occupational Regulation","968"
"HB1344","Labor and Employment","258"
"HB1347","Insurance","238"
"HB1347","Health Insurance","765"
"HB1347","Autism","16561"
"HB1348","Administration of Government","4"
"HB1348","Study Commissions, Committees, and Reports","428"
"HB1348","General Services, Department of","743"
"HB1355","Administration of Government","4"
"HB1363","Administration of Government","4"
"HB1363","Study Commissions, Committees, and Reports","428"
"HB1363","Infrastructure","796"
"HB1363","Uncodified Legislation","1282"
"HB1371","Administration of Government","4"
"HB1371","Virginia Public Procurement Act","1133"
"HB1373","Authorities","33"
"HB1373","Higher Education","771"
"HB1373","Institutions of Higher Education; Other Educational and Cultural Institutions","9650"
"HB1374","Armed Forces","26"
"HB1374","Tuition","1108"
"HB1374","Virginia National Guard","1130"
"HB1374","Institutions of Higher Education; Other Educational and Cultural Institutions","9650"
"HB1375","Education","154"
"HB1375","Study Commissions, Committees, and Reports","428"
"HB1375","Child Care","594"
"HB1385","Courts Not of Record","125"
"HB1385","Education","154"
"HB1385","School Boards","1029"
"HB1387","Commonwealth Public Safety","114"
"HB1387","Professions and Occupations","355"
"HB1390","Administration of Government","4"
"HB1393","Pensions, Benefits, and Retirement","336"
"HB1393","Law-Enforcement Officers","837"
"HB1393","Retirement Systems","1007"
"HB1403","Conservation","116"
"HB1403","Dams","660"
"HB1405","Prisons and Other Methods of Correction","354"
"HB1405","Study Commissions, Committees, and Reports","428"
"HB1405","Corrections, Board of or Department of","647"
"HB1414","Taxation","437"
"HB1414","Estates","705"
"HB1424","Appropriations","24"
"HB1424","Crimes and Offenses Generally","132"
"HB1424","Firearms","721"
"HB1434","Administration of Government","4"
"HB1434","King William County","256"
"HB1434","Property and Conveyances","356"
"HB1434","Uncodified Legislation","1282"
"HB1434","Mattaponi Indian Tribe","16613"
"HB1438","Pensions, Benefits, and Retirement","336"
"HB1438","Retirement Systems","1007"
"HB1445","Workforce","1160"
"HB1445","Institutions of Higher Education; Other Educational and Cultural Institutions","9650"
"HB1446","Taxation","437"
"HB1446","Affordable Housing","511"
"HB1446","Real Property","10592"
"HB1463","Administration of Government","4"
"HB1463","General Services, Department of","743"
"HB1463","Uncodified Legislation","1282"
"HB1470","Income Tax","234"
"HB1470","Taxation","437"
"HB1479","Administration of Government","4"
"HB1479","Health","218"
"HB1479","Professions and Occupations","355"
"HB1481","Domestic Relations","146"
"HB1490","Elections","156"
"HB1490","Voters and Voting","1141"
"HB1492","Judges, Justices, and Other Elective Officers","246"
"HB1492","Study Commissions, Committees, and Reports","428"
"HB1492","Supreme Court of Virginia","430"
"HB1492","Magistrates","862"
"HB1492","Victims of Crime","1125"
"HB1492","Uncodified Legislation","1282"
"HB1494","Juvenile Justice","249"
"HB1494","Study Commissions, Committees, and Reports","428"
"HB1494","Correctional Enterprises","646"
"HB1494","Uncodified Legislation","1282"
"HB1495","Administration of Government","4"
"HB1495","Television","1081"
"HB1497","Commissions, Boards, and Institutions Generally","113"
"HB1497","Study Commissions, Committees, and Reports","428"
"HB1497","Pharmacists","940"
"HB1497","Uncodified Legislation","1282"
"HB1520","Chesapeake Bay","87"
"HB1520","Study Commissions, Committees, and Reports","428"
"HB1520","Waters of the State, Ports, and Harbors","472"
"HB1520","Uncodified Legislation","1282"
"HB1524","Taxation","437"
"HB1524","Highways and Other Surface Transportation Systems","8721"
"HB1536","Sales and Use Tax","392"
"HB1536","Taxation","437"
"HB1536","Retail Sales and Use Tax","1006"
"HB1537","Joint Legislative Audit and Review Commission (JLARC)","244"
"HB1537","Study Commissions, Committees, and Reports","428"
"HB1537","Uncodified Legislation","1282"
"HB1546","Sales and Use Tax","392"
"HB1546","Taxation","437"
"HB1546","Data Centers","16509"
"HJ1","Constitutional Amendments","117"
"HJ1","Human Rights","785"
"HJ2","Constitutional Amendments","117"
"HJ2","Elections","156"
"HJ2","Voters and Voting","1141"
"HJ9","Constitutional Amendments","117"
"HJ9","Marriage","871"
"HJ14","General Assembly","192"
"HJ14","Indian Tribes","236"
"HJ14","Wolf Creek Cherokee Tribe of Virginia","13750"
"HJ15","Study Commissions, Committees, and Reports","428"
"HJ15","Higher Education","771"
"HJ15","Public Schools","980"
"HJ15","Tuition","1108"
"HJ15","Institutions of Higher Education; Other Educational and Cultural Institutions","9650"
"HJ21","Study Commissions, Committees, and Reports","428"
"HJ21","High Schools","768"
"HJ21","Higher Education","771"
"HJ21","Institutions of Higher Education; Other Educational and Cultural Institutions","9650"
"HJ22","Joint Legislative Audit and Review Commission (JLARC)","244"
"HJ22","Study Commissions, Committees, and Reports","428"
"HJ22","Long-Term Care","858"
"HJ22","Nurses","908"
"HJ24","Counties, Cities, and Towns","122"
"HJ24","Study Commissions, Committees, and Reports","428"
"HJ25","Senate of Virginia","399"
"HJ25","Study Commissions, Committees, and Reports","428"
"HJ25","Virginia House of Delegates","459"
"HJ25","Colleges","617"
"HJ25","Institutions of Higher Education; Other Educational and Cultural Institutions","9650"
"HJ29","Commissions, Boards, and Institutions Generally","113"
"HJ29","Study Commissions, Committees, and Reports","428"
"HJ29","Community Colleges","625"
"HJ29","Workforce","1160"
"HJ32","Administration of Government","4"
"HJ32","Joint Legislative Audit and Review Commission (JLARC)","244"
"HJ32","Study Commissions, Committees, and Reports","428"
"HJ34","Commissions, Boards, and Institutions Generally","113"
"HJ34","Study Commissions, Committees, and Reports","428"
"HJ34","Cell Phones","585"
"HJ34","Public Schools","980"
"HJ34","Students","1068"
"HJ35","Study Commissions, Committees, and Reports","428"
"HJ35","Taxation","437"
"HJ36","Counties, Cities, and Towns","122"
"HJ36","Study Commissions, Committees, and Reports","428"
"HJ36","Local Government and Officials","856"
"HJ39","Joint Legislative Audit and Review Commission (JLARC)","244"
"HJ39","Study Commissions, Committees, and Reports","428"
"HJ39","Community Colleges","625"
"HJ39","Tuition","1108"
"HJ40","Counties, Cities, and Towns","122"
"HJ40","Study Commissions, Committees, and Reports","428"
"HJ40","Taxation","437"
"HJ46","Motor Vehicles","299"
"HJ46","Police, State","345"
"HJ46","Study Commissions, Committees, and Reports","428"
"HJ51","Study Commissions, Committees, and Reports","428"
"HJ51","General Services, Department of","743"
"HJ61","Study Commissions, Committees, and Reports","428"
"HJ61","Higher Education","771"
"HJ61","Students","1068"
"HJ61","Tuition","1108"
"HJ61","Institutions of Higher Education; Other Educational and Cultural Institutions","9650"
"HJ63","Authorities","33"
"HJ63","Study Commissions, Committees, and Reports","428"
"HJ63","Cannabis","16575"
"HJ64","Counties, Cities, and Towns","122"
"HJ64","Study Commissions, Committees, and Reports","428"
"HJ64","Infrastructure","796"
"HJ64","Data Centers","16509"
"HJ65","Counties, Cities, and Towns","122"
"HJ65","Joint Legislative Audit and Review Commission (JLARC)","244"
"HJ65","Study Commissions, Committees, and Reports","428"
"HJ65","Roads","1012"
"HJ65","Highways and Other Surface Transportation Systems","8721"
"HJ67","Education","154"
"HJ67","Senate of Virginia","399"
"HJ67","Study Commissions, Committees, and Reports","428"
"HJ67","Virginia House of Delegates","459"
"HJ82","Property, Grounds, and Buildings, State-owned","358"
"HJ82","Study Commissions, Committees, and Reports","428"
"HJ82","Washington County","467"
"HJ82","State Parks","16596"
"SB10","Armed Forces","26"
"SB10","Income Tax","234"
"SB10","Taxation","437"
"SB31","Agriculture, Animal Care and Food","6"
"SB31","Companion Animals","628"
"SB33","Health","218"
"SB33","Professions and Occupations","355"
"SB33","Study Commissions, Committees, and Reports","428"
"SB33","Nurse Anesthetists","16479"
"SB61","Income Tax","234"
"SB61","Taxation","437"
"SB61","Firefighters and Fire Marshals","722"
"SB62","Institutions of Higher Education; Other Educational and Cultural Institutions","9650"
"SB72","Commissions, Boards, and Institutions Generally","113"
"SB72","Education","154"
"SB91","Labor and Employment","258"
"SB96","Education","154"
"SB96","Study Commissions, Committees, and Reports","428"
"SB108","Income Tax","234"
"SB108","Taxation","437"
"SB113","Administration of Government","4"
"SB113","Study Commissions, Committees, and Reports","428"
"SB113","Veterans","13645"
"SB123","Property and Conveyances","356"
"SB124","Gambling, Lotteries, Etc.","189"
"SB124","Taxation","437"
"SB124","Institutions of Higher Education; Other Educational and Cultural Institutions","9650"
"SB126","Administration of Government","4"
"SB126","Motor Vehicles","299"
"SB126","Personal Property and Personal Property Tax","337"
"SB136","Counties, Cities, and Towns","122"
"SB136","Local Government and Officials","856"
"SB137","Public Service Companies","361"
"SB137","State Corporation Commission","421"
"SB137","Electric Companies","689"
"SB140","Administration of Government","4"
"SB140","Health","218"
"SB140","Study Commissions, Committees, and Reports","428"
"SB152","Public Service Companies","361"
"SB152","State Corporation Commission","421"
"SB152","Electric Companies","689"
"SB163","Administration of Government","4"
"SB163","Attorney General","31"
"SB163","Authorities","33"
"SB163","Counties, Cities, and Towns","122"
"SB164","Consumer Protection","118"
"SB164","Trade and Commerce","445"
"SB170","Education","154"
"SB171","Counties, Cities, and Towns","122"
"SB171","Zoning","1164"
"SB181","Education","154"
"SB181","Elementary Schools","694"
"SB181","Public Schools","980"
"SB181","Secondary Schools","16483"
"SB183","Income Tax","234"
"SB183","Taxation","437"
"SB191","Public Service Companies","361"
"SB191","Electric Companies","689"
"SB191","Uncodified Legislation","1282"
"SB192","Computer Services and Uses","115"
"SB192","Sales and Use Tax","392"
"SB192","Taxation","437"
"SB192","Retail Sales and Use Tax","1006"
"SB197","Administration of Government","4"
"SB197","Attorney General","31"
"SB197","Children","597"
"SB197","Sexual Offenses","1040"
"SB198","Motor Vehicles","299"
"SB198","License Plates and Registration","846"
"SB200","Advertising and Advertisements","5"
"SB200","Counties, Cities, and Towns","122"
"SB218","Pensions, Benefits, and Retirement","336"
"SB218","Retirement Systems","1007"
"SB219","Tuition","1108"
"SB219","Virginia National Guard","1130"
"SB219","Institutions of Higher Education; Other Educational and Cultural Institutions","9650"
"SB226","Motor Vehicles","299"
"SB226","Study Commissions, Committees, and Reports","428"
