"MBR_HOU","MBR_MBRNO","MBR_NAME"
"S","S0120","Tara A. Durant                "
"S","S0085","Adam P. Ebbin                 "
"S","S0086","Barbara A. Favola             "
"S","S0121","Timmy French                  "
"S","S0112","T. Travis Hackworth           "
"S","S0108","Ghazala F. Hashmi             "
"S","S0122","Christopher T. Head           "
"S","S0116","Emily M. Jordan               "
"S","S0067","Mamie E. Locke                "
"S","S0019","L. Louise Lucas               "
"S","S0080","David W. Marsden              "
"S","S0069","Ryan T. McDougle              "
"S","S0098","Jeremy S. McPike              "
"S","S0131","Tammy Brankley Mulchi         "
"S","S0068","Mark D. Obenshain             "
"S","S0105","Mark J. Peake                 "
"S","S0124","Stella G. Pekarsky            "
"S","S0125","Russet Perry                  "
"S","S0111","Todd E. Pillion               "
"S","S0088","Bryce E. Reeves               "
"S","S0126","Danica A. Roem                "
"S","S0113","Aaron R. Rouse                "
"S","S0127","Saddam Azlan Salim            "
"S","S0133","Kannan Srinivasan             "
"S","S0082","William M. Stanley, Jr.       "
"S","S0078","Richard H. Stuart             "
"S","S0099","Glen H. Sturtevant, Jr.       "
"S","S0101","David R. Suetterlein          "
"S","S0100","Scott A. Surovell             "
"S","S0129","Schuyler T. VanValkenburg     "
"S","S0130","Angelia Williams Graves       "
