"Bill_id","Bill_description","Patron_id","Patron_name","Last_house_committee_id","Last_house_action","Last_house_action_date","Last_senate_committee_id","Last_senate_action","Last_senate_action_date","Last_conference_action","Last_conference_action_date","Last_governor_action","Last_governor_action_date","Emergency","Passed_house","Passed_senate","Passed","Failed","Carried_over","Approved","Vetoed","Full_text_doc1","Full_text_date1","Full_text_doc2","Full_text_date2","Full_text_doc3","Full_text_date3","Full_text_doc4","Full_text_date4","Full_text_doc5","Full_text_date5","Full_text_doc6","Full_text_date6","Last_house_actid","Last_senate_actid","Last_conference_actid","Last_governor_actid","Chapter_id","Introduction_date","Last_actid"
"HB12","Income tax, state; standard deduction.","H0308","McNamara","H10","Left in Finance","2/18/2026","","","","","","","","N","N","N","N","Y","N","N","N","HB12","12/19/2025","","","","","","","","","","","H1094","","","","","12/19/2025","H1094"
"HB13","RS and UT; food purchased for human consumption and essential personal hygiene products.","H0308","McNamara","H10","Continued to next session in Finance (Voice Vote)","2/11/2026","","","","","","","","N","N","N","N","N","Y","N","N","HB13","12/19/2025","","","","","","","","","","","H1040","","","","","12/19/2025","H1040"
"HB14","Virginia Residential Landlord and Tenant Act; enforcement by localities.","H0284","Price","H11","Fiscal Impact Statement from Department of Planning and Budget (HB14)","4/1/2026","S12","","3/30/2026","","","Approved by Governor-Chapter 542 (effective 7/1/2026)","4/13/2026","N","Y","Y","Y","N","N","Y","N","HB14","12/22/2025","HB14ER","3/30/2026","","","","","","","","","H8500","S5620","","G7050","","12/22/2025","G7050"
"HB15","Va. Residential Landlord and Tenant Act; landlord remedies, noncompliance with rental agreement.","H0284","Price","H11","Fiscal Impact Statement from Department of Planning and Budget (HB15)","4/1/2026","S12","","3/30/2026","","","Acts of Assembly Chapter text (CHAP0353)","4/8/2026","N","Y","Y","Y","N","N","Y","N","HB15","12/22/2025","HB15ER","3/30/2026","CHAP0353","4/8/2026","","","","","","","H8500","S5620","","G9998","CHAP0353","12/22/2025","G9998"
"HB16","Community service work in lieu of payment of fines and costs; work performed while incarcerated.","H0284","Price","H02","Fiscal Impact Statement from Department of Planning and Budget (HB16)","3/31/2026","S05","","3/30/2026","","","Approved by Governor-Chapter 544 (effective 7/1/2026)","4/13/2026","N","Y","Y","Y","N","N","Y","N","HB16","12/22/2025","HB16E","2/5/2026","HB16ER","3/30/2026","","","","","","","H8500","S5620","","G7050","","12/22/2025","G7050"
"HB17","Fines and costs; period of limitations on collection, responsibility for collections.","H0284","Price","H02","Fiscal Impact statement From DPB (3/26/2026 10:21 am)","3/26/2026","S05","","3/13/2026","","","Acts of Assembly Chapter text (CHAP0355)","4/8/2026","N","Y","Y","Y","N","N","Y","N","HB17","12/22/2025","HB17E","2/5/2026","HB17S2","3/4/2026","HB17ER","3/13/2026","CHAP0355","4/8/2026","","","H8500","S5620","","G9998","CHAP0355","12/22/2025","G9998"
"HB18","Employee Child Care Assistance Pilot Program; established, reports.","H0375","McClure","H02","Enrolled Bill communicated to Governor on March 25, 2026","3/25/2026","S05","","3/14/2026","","","Approved by Governor-Chapter 545 (effective 7/1/2026)","4/13/2026","N","Y","Y","Y","N","N","Y","N","HB18","12/22/2025","HB18E","2/5/2026","HB18ER","3/14/2026","","","","","","","H7010","S5620","","G7050","","12/22/2025","G7050"
"HB19","Firearms; purchase, etc., after assault & battery of family or household member or intimate partner.","H0375","McClure","H02","Fiscal Impact Statement from Department of Planning and Budget (HB19)","3/18/2026","S05","","3/13/2026","","","Acts of Assembly Chapter text (CHAP0527)","4/10/2026","N","Y","Y","Y","N","N","Y","N","HB19","12/22/2025","HB19S1","2/23/2026","HB19ER","3/13/2026","CHAP0527","4/10/2026","","","","","H8500","S5620","","G9998","CHAP0527","12/22/2025","G9998"
"HB20","Minimum wage; farm laborers or farm employees, temporary foreign workers.","H0375","McClure","H02","Fiscal Impact Statement from Department of Planning and Budget (HB20)","3/31/2026","S05","","3/30/2026","","","Acts of Assembly Chapter text (CHAP0357)","4/8/2026","N","Y","Y","Y","N","N","Y","N","HB20","12/22/2025","HB20E","2/11/2026","HB20S1","2/24/2026","HB20ER","3/30/2026","CHAP0357","4/8/2026","","","H8500","S5620","","G9998","CHAP0357","12/22/2025","G9998"
"HB21","Firearm industry members; creates standards of responsible conduct, civil liability.","H0317","Helmer","H15","Fiscal Impact Statement from Department of Planning and Budget (HB21)","3/16/2026","S05","","3/12/2026","","","Acts of Assembly Chapter text (CHAP0529)","4/10/2026","N","Y","Y","Y","N","N","Y","N","HB21","12/22/2025","HB21H1","1/30/2026","HB21S1","2/25/2026","HB21ER","3/9/2026","CHAP0529","4/10/2026","","","H8500","S5620","","G9998","CHAP0529","12/22/2025","G9998"
"HB22","VMI; removes certain authority, disciplinary immunity for certain individuals who make reports.","H0317","Helmer","H09","Enrolled Bill communicated to Governor on March 25, 2026","3/25/2026","S04","","3/14/2026","","","Approved by Governor-Chapter 547 (effective 7/1/2026)","4/13/2026","N","Y","Y","Y","N","N","Y","N","HB22","12/22/2025","HB22ER","3/14/2026","","","","","","","","","H7010","S5620","","G7050","","12/22/2025","G7050"
"HB23","Elections; primary dates, presidential year primaries.","H0317","Helmer","H18","Stricken from docket by Privileges and Elections (21-Y 0-N)","2/13/2026","","","","","","","","N","N","N","N","Y","N","N","N","HB23","12/22/2025","","","","","","","","","","","H1893","","","","","12/22/2025","H1893"
"HB24","Concealed handgun permits; reciprocity with other states.","H0317","Helmer","H15","Left in Committee Public Safety","2/18/2026","","","","","","","","N","N","N","N","Y","N","N","N","HB24","12/22/2025","","","","","","","","","","","H1594","","","","","12/22/2025","H1594"
"HB25","Railroad safety; minimum train crew used in movement of freight.","H0353","Anthony","H14","Enrolled Bill communicated to Governor on March 10, 2026","3/10/2026","S02","","3/6/2026","","","Approved by Governor-Chapter 548 (effective 7/1/2026)","4/13/2026","N","Y","Y","Y","N","N","Y","N","HB25","12/22/2025","HB25S1","2/24/2026","HB25ER","3/6/2026","","","","","","","H7010","S5620","","G7050","","12/22/2025","G7050"
"HB26","Marijuana-related offenses; modification of sentence, sunset.","H0365","Henson","H02","Fiscal Impact Statement from Department of Planning and Budget (HB26)","3/31/2026","S05","","3/30/2026","","","Governor's recommendation received by House","4/13/2026","N","Y","Y","Y","N","N","N","N","HB26","12/22/2025","HB26H1","1/29/2026","HB26S1","3/3/2026","HB26ER","3/30/2026","","","","","H8500","S5620","","G7210","","12/22/2025","G7210"
"HB27","Overtime for certain employees; pay for domestic workers, delayed effective date.","H0365","Henson","H14","Fiscal Impact Statement from Department of Planning and Budget (HB27)","3/31/2026","S05","","3/30/2026","","","Governor's recommendation received by House","4/13/2026","N","Y","Y","Y","N","N","N","N","HB27","12/22/2025","HB27E","1/30/2026","HB27S1","2/24/2026","HB27ER","3/30/2026","","","","","H8500","S5620","","G7210","","12/22/2025","G7210"
"HB28","Voter registration; regular periodic review of registration records.","H0365","Henson","H02","Read third time and passed House (61-Y 35-N 0-A)","2/13/2026","S08","Continued to next session in Privileges and Elections (15-Y 0-N)","2/24/2026","","","","","N","Y","N","N","N","Y","N","N","HB28","12/22/2025","HB28H1","1/30/2026","","","","","","","","","H5000","S0840","","","","12/22/2025","S0840"
"HB29","Budget Bill.","H0227","Torian","H02","Senate amendments agreed to by House (59-Y 35-N 0-A)","2/20/2026","S05","Signed by President","2/20/2026","","","Acts of Assembly Chapter text (CHAP0007)","2/20/2026","N","Y","Y","Y","N","N","Y","N","HB29","12/17/2025","HB29","12/17/2025","CHAP0007","12/20/2025","HB29ER","2/20/2026","","","","","H5431","S5620","","G9998","CHAP0007","12/17/2025","H5431"
"HB30","Budget Bill.","H0227","Torian","H02","Continued to 2026 Sp. Sess. 1 pursuant to HJR 316","3/14/2026","S05","Senate insisted on substitute  Block Vote (39-Y 0-N 0-A)","3/4/2026","","","","","N","Y","Y","N","N","Y","N","N","HB30","12/17/2025","HB30","12/17/2025","","","","","","","","","H5940","S5520","","","","12/17/2025","H5940"
"HB31","Professionally Licensed Teacher Supplemental Pay Program; established, report.","H0360","Feggans","H02","Left in Committee Appropriations","2/18/2026","","","","","","","","N","N","N","N","Y","N","N","N","HB31","12/22/2025","","","","","","","","","","","H0294","","","","","12/22/2025","H0294"
"HB32","Problem Gambling Treatment and Support Advisory Committee; appointment of additional members.","H0281","Krizek","H24","Fiscal Impact Statement from Department of Planning and Budget (HB32)","3/31/2026","S09","","3/30/2026","","","Approved by Governor-Chapter 907 (effective 7/1/2026)","4/13/2026","N","Y","Y","Y","N","N","Y","N","HB32","12/22/2025","HB32ER","3/30/2026","","","","","","","","","H8500","S5620","","G7050","","12/22/2025","G7050"
"HB33","Income tax, state; pass-through entities, sunset.","H0308","McNamara","H10","Left in Finance","2/18/2026","","","","","","","","N","N","N","N","Y","N","N","N","HB33","12/23/2025","","","","","","","","","","","H1094","","","","","12/23/2025","H1094"
"HB34","Sexual Offense Prevention and Response Officer; feasibility of establishing position.","H0314","Cole, J.G.","H15","Fiscal Impact Statement from Department of Planning and Budget (HB34)","3/31/2026","S05","","3/30/2026","","","Approved by Governor-Chapter 550 (effective 7/1/2026)","4/13/2026","N","Y","Y","Y","N","N","Y","N","HB34","12/23/2025","HB34E","2/4/2026","HB34S1","3/5/2026","HB34ER","3/30/2026","","","","","H8500","S5620","","G7050","","12/23/2025","G7050"
"HB35","Restorative housing and isolated confinement; restrictions on use.","H0314","Cole, J.G.","H02","Fiscal Impact Statement from Department of Planning and Budget (HB35)","2/16/2026","S09","Senate committee offered","3/6/2026","","","","","N","Y","N","N","N","Y","N","N","HB35","12/23/2025","HB35E","2/11/2026","","","","","","","","","H8500","S8122","","","","12/23/2025","S8122"
"HB36","Standards of Quality; class size limits, exception for certain ensemble music classes.","H0314","Cole, J.G.","H09","Left in Education","2/18/2026","","","","","","","","N","N","N","N","Y","N","N","N","HB36","12/23/2025","","","","","","","","","","","H0994","","","","","12/23/2025","H0994"
"HB37","Developmental disability waivers; financial eligibility standards, sunset repeal.","H0344","Shin","H24","Enrolled Bill communicated to Governor on March 25, 2026","3/25/2026","S05","","3/14/2026","","","Acts of Assembly Chapter text (CHAP0055)","4/6/2026","N","Y","Y","Y","N","N","Y","N","HB37","12/23/2025","HB37ER","3/14/2026","CHAP0055","4/6/2026","","","","","","","H7010","S5620","","G9998","CHAP0055","12/23/2025","G9998"
"HB38","Public schools; mental health awareness training and instruction, requirements.","H0365","Henson","H09","Enrolled Bill communicated to Governor on March 10, 2026","3/10/2026","S04","","3/6/2026","","","Acts of Assembly Chapter text (CHAP0047)","4/2/2026","N","Y","Y","Y","N","N","Y","N","HB38","12/23/2025","HB38ER","3/6/2026","CHAP0047","4/2/2026","","","","","","","H7010","S5620","","G9998","CHAP0047","12/23/2025","G9998"
"HB39","Duty of settlement agent; restrictive covenants.","H0264","Simon","H11","Fiscal Impact Statement from Department of Planning and Budget (HB39)","4/1/2026","S12","","3/30/2026","","","Acts of Assembly Chapter text (CHAP0359)","4/8/2026","N","Y","Y","Y","N","N","Y","N","HB39","12/23/2025","HB39ER","3/30/2026","CHAP0359","4/8/2026","","","","","","","H8500","S5620","","G9998","CHAP0359","12/23/2025","G9998"
"HB40","Plastic firearms or receivers, etc.; transfer, etc., prohibited, penalties.","H0264","Simon","H15","Enrolled Bill communicated to Governor on March 14, 2026","3/14/2026","S05","","3/11/2026","","","Acts of Assembly Chapter text (CHAP0531)","4/10/2026","N","Y","Y","Y","N","N","Y","N","HB40","12/23/2025","HB40S1","2/25/2026","HB40ER","3/11/2026","CHAP0531","4/10/2026","","","","","H7010","S5620","","G9998","CHAP0531","12/23/2025","G9998"
"HB41","Elections; procedures for removal of electoral board members and general registrars.","H0264","Simon","H18","Enrolled Bill communicated to Governor on March 10, 2026","3/10/2026","S08","","3/6/2026","","","Governor's recommendation received by House","4/13/2026","N","Y","Y","Y","N","N","N","N","HB41","12/23/2025","HB41ER","3/6/2026","","","","","","","","","H7010","S5620","","G7210","","12/23/2025","G7210"
"HB42","Posting of building permit; identification of mechanics' lien agent.","H0264","Simon","H08","Continued to next session in Courts of Justice (Voice Vote)","2/11/2026","","","","","","","","N","N","N","N","N","Y","N","N","HB42","12/23/2025","","","","","","","","","","","H0840","","","","","12/23/2025","H0840"
"HB43","Suicide; abolishes common-law crime, delayed effective date, report.","H0264","Simon","H08","Enrolled Bill communicated to Governor on March 10, 2026","3/10/2026","S13","","2/25/2026","","","Approved by Governor-Chapter 785 (effective 7/1/2026)","4/13/2026","N","Y","Y","Y","N","N","Y","N","HB43","12/23/2025","HB43E","2/9/2026","HB43ER","2/25/2026","","","","","","","H7010","S5620","","G7050","","12/23/2025","G7050"
"HB44","Elections; campaign finance disclosure reports, searchable electronic database.","H0281","Krizek","H02","Left in Committee Appropriations","2/18/2026","","","","","","","","N","N","N","N","Y","N","N","N","HB44","12/24/2025","","","","","","","","","","","H0294","","","","","12/24/2025","H0294"
"HB45","Fees to hunt, fish, and trap; free or partially discounted, reimbursement.","H0259","Fowler","H02","Left in Committee Appropriations","2/18/2026","","","","","","","","N","N","N","N","Y","N","N","N","HB45","12/26/2025","","","","","","","","","","","H0294","","","","","12/26/2025","H0294"
"HB46","Judges; maximum number in each judicial circuit.","H0301","Reid","H08","Incorporated by Courts of Justice (HB443-Hope)  (Voice Vote)","2/4/2026","","","","","","","","N","N","N","N","Y","N","N","N","HB46","12/26/2025","","","","","","","","","","","H0899","","","","","12/26/2025","H0899"
"HB47","Income tax, state; subtractions, uniformed services and foreign service retirement benefits.","H0301","Reid","H10","Left in Finance","2/18/2026","","","","","","","","N","N","N","N","Y","N","N","N","HB47","12/29/2025","","","","","","","","","","","H1094","","","","","12/29/2025","H1094"
"HB48","Suicide prevention; VDH to convene work group to develop plan to reduce among at-risk populations.","H0301","Reid","H20","Left in Committee Rules","2/18/2026","","","","","","","","N","N","N","N","Y","N","N","N","HB48","12/29/2025","","","","","","","","","","","H2094","","","","","12/29/2025","H2094"
"HB49","Pari-mutuel wagering; historical horse racing, percentage retained for distribution.","H0301","Reid","H02","Read third time and passed House (95-Y 3-N 0-A)","2/12/2026","S05","Continued to next session in Finance and Appropriations (13-Y 2-N)","2/25/2026","","","","","N","Y","N","N","N","Y","N","N","HB49","12/29/2025","HB49H1","2/6/2026","","","","","","","","","H5000","S0540","","","","12/29/2025","S0540"
"HB50","VHSL; feasibility of adding cricket as a sanctioned sport in Planning District 8.","H0301","Reid","H20","Left in Committee Rules","2/18/2026","","","","","","","","N","N","N","N","Y","N","N","N","HB50","12/29/2025","","","","","","","","","","","H2094","","","","","12/29/2025","H2094"
"HB51","Elections; time of certain local elections.","H0267","Bloxom","H18","Left in Committee Privileges and Elections","2/18/2026","","","","","","","","N","N","N","N","Y","N","N","N","HB51","12/29/2025","","","","","","","","","","","H1894","","","","","12/29/2025","H1894"
"HB52","Marine Resources Commission; beneficial use of dredged material.","H0267","Bloxom","H01","Fiscal Impact Statement from Department of Planning and Budget (HB52)","4/2/2026","S05","","3/30/2026","","","Approved by Governor-Chapter 908 (effective 7/1/2026)","4/13/2026","N","Y","Y","Y","N","N","Y","N","HB52","12/29/2025","HB52E","2/2/2026","HB52ER","3/30/2026","","","","","","","H8500","S5620","","G7050","","12/29/2025","G7050"
"HB53","Student bullying; adjusts definition, characteristics of victim.","H0314","Cole, J.G.","H09","Incorporated by Education (HB894-Sullivan)  (Voice Vote)","2/11/2026","","","","","","","","N","N","N","N","Y","N","N","N","HB53","12/29/2025","","","","","","","","","","","H0999","","","","","12/29/2025","H0999"
"HB54","State Government Internship Coordinator; DHRM to establish and employ.","H0269","Sullivan","H02","Enrolled Bill communicated to Governor on March 14, 2026","3/14/2026","S05","","3/10/2026","","","Approved by Governor-Chapter 786 (effective 7/1/2026)","4/13/2026","N","Y","Y","Y","N","N","Y","N","HB54","12/29/2025","HB54E","2/11/2026","HB54ER","3/10/2026","","","","","","","H7010","S5620","","G7050","","12/29/2025","G7050"
"HB55","Noise abatement monitoring systems; local authorities to place and operate, civil penalties.","H0269","Sullivan","H19","Enrolled Bill communicated to Governor on March 31, 2026","3/31/2026","S11","","3/30/2026","","","Acts of Assembly Chapter text (CHAP0056)","4/6/2026","N","Y","Y","Y","N","N","Y","N","HB55","12/29/2025","HB55H1","2/10/2026","HB55ER","3/30/2026","CHAP0056","4/6/2026","","","","","H7010","S5620","","G9998","CHAP0056","12/29/2025","G9998"
"HB56","Virginia Military Survivors and Dependents Education Program; tuition and fee waivers, eligibility.","H0360","Feggans","H09","Left in Committee Rules","2/18/2026","","","","","","","","N","N","N","N","Y","N","N","N","HB56","12/30/2025","HB56H1","2/11/2026","","","","","","","","","H2094","","","","","12/30/2025","H2094"
"HB57","Vehicles designed and used for transportation of passengers; fees, funds returned to a locality.","H0360","Feggans","H19","Passed House (98-Y 0-N 0-A)","2/4/2026","S05","Continued to next session in Finance and Appropriations (14-Y 0-N)","2/25/2026","","","","","N","Y","N","N","N","Y","N","N","HB57","12/30/2025","","","","","","","","","","","H5001","S0540","","","","12/30/2025","S0540"
"HB58","Virginia Board for Asbestos, Lead, and Home Inspectors; renamed, radon measurement, etc.","H0281","Krizek","H11","Stricken from docket by General Laws (19-Y 0-N)","1/20/2026","","","","","","","","N","N","N","N","Y","N","N","N","HB58","12/30/2025","","","","","","","","","","","H1193","","","","","12/30/2025","H1193"
"HB59","Reapportionment; reallocation of populations, population data, civil commitment facilities.","H0124","Ware","H18","Enrolled Bill communicated to Governor on March 14, 2026","3/14/2026","S08","","3/10/2026","","","Approved by Governor-Chapter 551 (effective 7/1/2026)","4/13/2026","N","Y","Y","Y","N","N","Y","N","HB59","12/30/2025","HB59S1","2/24/2026","HB59ER","3/10/2026","","","","","","","H7010","S5620","","G7050","","12/30/2025","G7050"
"HB60","Life or health insurances; unfair discrimination, pre-exposure prophylaxis for prevention of HIV.","H0173","Ward","H14","Enrolled Bill communicated to Governor on March 10, 2026","3/10/2026","S02","","3/3/2026","","","Acts of Assembly Chapter text (CHAP0012)","3/31/2026","N","Y","Y","Y","N","N","Y","N","HB60","12/30/2025","HB60ER","3/3/2026","CHAP0012","3/31/2026","","","","","","","H7010","S5620","","G9998","CHAP0012","12/30/2025","G9998"
"HB61","Small SWaM Business Procurement Enhancement Program; established, report.","H0173","Ward","H02","Fiscal Impact Statement from Department of Planning and Budget (HB61)","3/17/2026","S05","","3/13/2026","","","Governor's recommendation received by House","4/13/2026","N","Y","Y","Y","N","N","N","N","HB61","12/30/2025","HB61E","2/16/2026","HB61S2","3/4/2026","HB61ER","3/13/2026","","","","","H8500","S5620","","G7210","","12/30/2025","G7210"
"HB62","Tazewell, Town of; amending charter, residency requirement for town manager.","H0224","Morefield","H07","Enrolled Bill communicated to Governor on March 10, 2026","3/10/2026","S07","","3/2/2026","","","Acts of Assembly Chapter text (CHAP0014)","3/31/2026","N","Y","Y","Y","N","N","Y","N","HB62","12/30/2025","HB62ER","3/2/2026","CHAP0014","3/31/2026","","","","","","","H7010","S5620","","G9998","CHAP0014","12/30/2025","G9998"
"HB63","Southwest Reg. Recreation Authority; certification of Southwest Regional Recreation Area rangers.","H0224","Morefield","H15","Enrolled Bill communicated to Governor on March 10, 2026","3/10/2026","S07","","3/2/2026","","","Acts of Assembly Chapter text (CHAP0360)","4/8/2026","N","Y","Y","Y","N","N","Y","N","HB63","12/30/2025","HB63ER","3/2/2026","CHAP0360","4/8/2026","","","","","","","H7010","S5620","","G9998","CHAP0360","12/30/2025","G9998"
"HB64","Health insurance; coverage for speech therapy as a treatment for stuttering.","H0314","Cole, J.G.","H14","Left in Labor and Commerce","2/18/2026","","","","","","","","N","N","N","N","Y","N","N","N","HB64","12/30/2025","","","","","","","","","","","H1494","","","","","12/30/2025","H1494"
"HB65","Apple Board; repealing Board and Apple Fund effective July 1, 2028, delayed effective date, report.","H0317","Helmer","H01","Enrolled Bill communicated to Governor on March 10, 2026","3/10/2026","S01","","3/6/2026","","","Acts of Assembly Chapter text (CHAP0023)","3/31/2026","N","Y","Y","Y","N","N","Y","N","HB65","12/30/2025","HB65ER","3/6/2026","CHAP0023","3/31/2026","","","","","","","H7010","S5620","","G9998","CHAP0023","12/30/2025","G9998"
"HB66","Federal benefit programs; DMAS & DSS shall study technology systems used to administer.","H0360","Feggans","H02","Read third time and passed House (96-Y 0-N 0-A)","2/13/2026","S05","Continued to next session in Finance and Appropriations (14-Y 0-N)","3/6/2026","","","","","N","Y","N","N","N","Y","N","N","HB66","12/30/2025","HB66H1","2/3/2026","","","","","","","","","H5000","S0540","","","","12/30/2025","S0540"
"HB67","Offshore wind industry; workforce development.","H0360","Feggans","H14","Fiscal Impact Statement from Department of Planning and Budget (HB67)","4/1/2026","S05","","3/30/2026","Conference Report released","3/13/2026","Acts of Assembly Chapter text (CHAP0361)","4/8/2026","N","Y","Y","Y","N","N","Y","N","HB67","12/30/2025","HB67S1","2/24/2026","HB67ER","3/30/2026","CHAP0361","4/8/2026","","","","","H8500","S5620","C6038","G9998","CHAP0361","12/30/2025","G9998"
"HB68","Real property; effect on rate when assessment results in tax increase, consideration of inflation.","H0308","McNamara","H10","Continued to next session in Finance","1/28/2026","","","","","","","","N","N","N","N","N","Y","N","N","HB68","12/30/2025","","","","","","","","","","","H1040","","","","","12/30/2025","H1040"
"HB69","Retail franchise agreements; governing law, competition restrictions.","H0317","Helmer","H14","Fiscal Impact Statement from State Corporation Commission (HB69)","4/6/2026","S02","","3/30/2026","","","Approved by Governor-Chapter 553 (effective 7/1/2026)","4/13/2026","N","Y","Y","Y","N","N","Y","N","HB69","12/30/2025","HB69S1","3/9/2026","HB69ER","3/30/2026","","","","","","","H8500","S5620","","G7050","","12/30/2025","G7050"
"HB70","Resilient Virginia Revolving Fund; projects in low-income geographic areas, nature-based solutions.","H0360","Feggans","H01","Enrolled Bill communicated to Governor on March 25, 2026","3/25/2026","S01","","3/14/2026","","","Acts of Assembly Chapter text (CHAP0057)","4/6/2026","N","Y","Y","Y","N","N","Y","N","HB70","12/31/2025","HB70H1","2/5/2026","HB70ER","3/14/2026","CHAP0057","4/6/2026","","","","","H7010","S5620","","G9998","CHAP0057","12/31/2025","G9998"
"HB71","Absentee voting in person; voter satellite offices, days and hours of operation.","H0380","Reaser","H18","Continued to next session in Privileges and Elections (Voice Vote)","2/13/2026","","","","","","","","N","N","N","N","N","Y","N","N","HB71","12/31/2025","","","","","","","","","","","H1840","","","","","12/31/2025","H1840"
"HB72","Real property tax; classification of land and improvements in City of Fredericksburg.","H0314","Cole, J.G.","H10","Incorporated by Finance (HB282-Callsen)  (Voice Vote)","1/21/2026","","","","","","","","N","N","N","N","Y","N","N","N","HB72","12/31/2025","","","","","","","","","","","H1099","","","","","12/31/2025","H1099"
"HB73","Juvenile and domestic relations district courts; petitions for relief of care and custody.","H0314","Cole, J.G.","H08","Enrolled Bill communicated to Governor on March 10, 2026","3/10/2026","S13","","2/25/2026","","","Acts of Assembly Chapter text (CHAP0058)","4/6/2026","N","Y","Y","Y","N","N","Y","N","HB73","12/31/2025","HB73ER","2/25/2026","CHAP0058","4/6/2026","","","","","","","H7010","S5620","","G9998","CHAP0058","12/31/2025","G9998"
